amount,txn_type,login_freq,sess_dur,pattern,age,anomaly
545.3898997875332,purchase,5,62,focused,established,low_risk
512.27631683721,sale,2,28,random,new,low_risk
792.3146628591071,transfer,8,132,high_value,veteran,low_risk
950.8962991157607,purchase,3,61,focused,established,low_risk
381.66633849245403,transfer,7,121,high_value,veteran,low_risk
487.3517463026668,sale,8,87,high_value,veteran,low_risk
225.33302731260937,scam,2,23,random,new,high_risk
1161.4858779581214,transfer,7,93,high_value,veteran,low_risk
590.3751953701048,scam,1,30,random,new,high_risk
792.935976275034,sale,6,82,high_value,veteran,moderate_risk
833.9712830620958,sale,6,88,high_value,veteran,moderate_risk
555.4230567389069,purchase,3,72,focused,established,low_risk
0.01,sale,1,37,random,new,low_risk
281.5805624062355,purchase,3,51,focused,established,low_risk
532.6365918100726,purchase,4,59,focused,established,low_risk
721.0275071306905,sale,7,146,high_value,veteran,moderate_risk
491.4510348316214,transfer,6,94,high_value,veteran,low_risk
368.2879156356164,purchase,3,49,focused,established,low_risk
780.0514735545596,purchase,5,77,focused,established,low_risk
295.49675239829713,sale,6,127,high_value,veteran,low_risk
303.3799651659349,purchase,2,27,random,new,low_risk
334.2110643641603,sale,1,28,random,new,low_risk
513.2186822713862,transfer,2,25,random,new,low_risk
610.3860747704773,purchase,5,53,focused,established,low_risk
308.6907330322041,sale,8,84,high_value,veteran,low_risk
491.5164678775128,sale,2,38,random,new,low_risk
1020.1931661007828,transfer,8,149,high_value,veteran,low_risk
690.3517687593778,purchase,2,20,random,new,low_risk
637.4742825991086,purchase,3,59,focused,established,low_risk
355.50823654230226,sale,7,158,high_value,veteran,low_risk
412.63601363303286,scam,2,28,random,new,high_risk
572.6991019547463,purchase,3,60,focused,established,low_risk
589.4833097747152,transfer,2,28,random,new,low_risk
399.32618550448274,purchase,3,70,focused,established,low_risk
656.1996712982167,sale,6,91,high_value,veteran,low_risk
664.2165385972306,sale,6,109,high_value,veteran,moderate_risk
902.0544984131748,purchase,3,56,focused,established,low_risk
52.56356950808686,sale,7,151,high_value,veteran,low_risk
469.3140115977735,transfer,6,82,high_value,veteran,low_risk
283.47975347987153,transfer,2,29,random,new,low_risk
77.02565712014143,purchase,2,31,random,new,low_risk
135.3793948560264,scam,2,23,random,new,high_risk
486.32526758046754,sale,8,133,high_value,veteran,low_risk
844.7203716109261,sale,7,155,high_value,veteran,moderate_risk
445.4362147295103,sale,6,99,high_value,veteran,moderate_risk
430.30318551114686,transfer,3,68,focused,established,low_risk
470.4774104169815,transfer,4,76,focused,established,low_risk
564.4314582175334,transfer,8,114,high_value,veteran,low_risk
0.01,sale,8,142,high_value,veteran,low_risk
869.5377807830696,sale,8,105,high_value,veteran,moderate_risk
822.5037707970289,transfer,2,35,random,new,low_risk
109.59397121744678,purchase,3,62,focused,established,low_risk
1135.7969735865863,purchase,4,69,focused,established,low_risk
502.9127124409678,sale,1,24,random,new,low_risk
598.489083706907,sale,6,101,high_value,veteran,low_risk
103.4346890589585,sale,2,21,random,new,low_risk
805.7481217961791,purchase,4,42,focused,established,low_risk
776.325066072962,transfer,3,47,focused,established,low_risk
830.2843014068757,purchase,3,77,focused,established,low_risk
409.26338678325556,transfer,7,121,high_value,veteran,low_risk
680.806436707398,sale,1,20,random,new,low_risk
200.48174299378655,purchase,5,51,focused,established,low_risk
